,Total Logins,Tickets Raised,Customer Tenuer Year,Sentiment Score,Onboarding Year,Loans Accessed,Loans Taken,Monthly Avg Balance,Churned
82,10.0,5.0,6,0.595365464,2019,1,0,65255.84013,0
83,21.0,1.0,13,0.560363066,2012,1,1,54681.48691,0
84,16.400753212228622,3.0,9,1.195811839,2016,0,0,54055.19068,0
85,23.0,2.0,4,0.32037969,2021,1,0,58945.84726,0
86,21.0,2.0,4,0.776770942,2021,0,1,48131.763028208115,0
87,13.0,1.0,11,0.508441356,2014,1,1,44434.21901,0
88,24.0,0.0,6,0.592639171,2019,0,1,48131.763028208115,0
89,19.0,1.0,8,1.231606334,2017,1,2,73459.75729,0
90,27.0,4.0,6,0.222386767,2019,2,3,42841.56995,0
91,14.0,2.0,12,0.3333516,2013,2,2,56224.10009,0
92,14.0,3.0,11,0.088597004,2014,1,1,31577.43211,0
93,20.0,1.0,7,0.42510499,2018,1,1,30833.65258,0
94,21.0,3.0,13,0.614748474,2012,1,3,48131.763028208115,0
95,20.0,5.0,6,0.567815585,2019,2,3,50154.68705,1
96,14.0,2.0,14,0.830772019,2011,0,1,46970.66597,0
97,22.0,3.0,5,0.531822409,2020,0,2,69690.1918,0
98,20.0,1.0,10,0.723502789,2015,2,0,48131.763028208115,0
99,29.0,2.0,7,0.802233167,2018,1,1,34294.55217,0
100,16.0,1.0,4,0.528083849,2021,1,2,44131.15148,0
101,19.0,3.0,5,0.546129406,2020,3,0,55756.25431,0
102,22.0,3.0,13,0.437802776,2012,2,3,50587.90194,1
103,17.0,5.0,8,0.132955627,2017,3,1,57968.579,1
104,14.0,2.0,13,0.718569749,2012,0,0,73652.06522,0
105,16.0,2.0,10,0.804904478,2015,0,1,35470.831,1
106,10.0,4.0,11,0.272046206,2014,3,1,60483.03354,1
107,18.0,0.0,8,0.590621161,2017,0,1,29830.74493,0
108,15.0,4.0,12,0.072434031,2013,4,2,58736.23152,1
109,10.0,5.0,7,0.49501943,2018,2,0,45413.27001,0
110,17.0,1.0,6,0.107749138,2019,0,2,45376.89184,1
111,20.0,1.0,6,-0.143835617,2019,1,1,54688.0481,1
112,28.0,1.0,13,0.096641062,2012,1,1,39332.2326,0
113,31.0,2.0,8,0.34274184,2017,1,0,64648.37422,0
114,17.0,4.0,7,0.557452426,2018,1,1,50215.70015,0
115,13.0,2.0,5,0.341843432,2020,1,0,48131.763028208115,0
116,13.0,2.0,9,0.168119584,2016,2,2,19694.86394,1
117,15.0,5.0,7,0.50192541,2018,1,6,38302.90707,1
118,24.0,2.0,13,0.379613797,2012,2,1,60027.84819,0
119,25.0,3.0,8,0.613338411,2017,3,1,51132.59752,0
120,14.0,3.0,4,0.730007413,2021,0,0,57092.52233,0
121,23.0,1.0,12,0.745664788,2013,1,1,72653.09115,0
122,21.0,1.0,12,0.281593283,2013,0,1,63775.13482,0
123,23.0,3.0,8,0.187584921,2017,1,3,52511.16572,0
124,17.0,0.0,13,0.678279369,2012,2,3,28215.49358,1
125,24.0,2.0,14,0.600217705,2011,3,3,72375.19668,0
126,23.0,2.0,12,0.702726503,2013,0,0,63022.41557,0
127,19.0,2.0,5,0.953478551,2020,2,2,46382.44607,0
128,18.0,2.0,11,0.767629317,2014,0,2,41931.68185,0
129,13.0,2.0,9,0.368699205,2016,2,2,43510.67008,1
130,16.0,3.0,14,0.15608134,2011,1,3,32621.38183,1
131,23.0,3.0,11,0.663130484,2014,0,1,61132.43349,0
132,19.0,4.0,9,0.496498406,2016,1,2,34330.9156,0
133,13.0,2.0,11,0.301173247,2014,0,0,51943.41822,0
134,15.0,2.0,7,0.557469127,2018,1,0,33420.95983,0
135,22.0,2.0,8,0.621253891,2017,0,1,31679.06137,0
136,15.0,6.0,9,0.474153092,2016,0,0,52878.18329,0
137,25.0,5.0,8,0.903875683,2017,1,2,62654.13394,0
138,14.400753212228622,5.0,14,0.418799439,2011,1,2,64603.22147,0
139,21.0,2.0,5,0.435965356,2020,1,0,32921.89426,0
140,15.0,4.0,9,0.204331042,2016,2,1,29780.83799,1
141,14.0,5.0,7,0.139774151,2018,1,0,51136.87658,0
142,20.0,3.0,7,0.79413131,2018,1,3,57589.28405,0
143,19.0,1.0,8,0.720518705,2017,1,0,47412.07323,0
144,20.0,4.0,5,0.167220032,2020,2,0,53686.0069,1
145,24.0,2.0,4,0.633838773,2021,2,1,61345.38655,0
146,18.0,1.0,6,-0.025451263,2019,1,0,43171.19414,0
147,23.0,3.0,5,0.151097501,2020,1,3,48131.763028208115,0
148,18.0,3.0,14,0.234856819,2011,2,1,61227.1181,0
149,28.0,6.0,11,0.25057019,2014,0,2,49043.58158,0
150,20.0,3.0,5,0.129264665,2020,2,2,68364.92234,0
151,28.0,1.0,14,-0.010573022,2011,2,1,60392.00603,0
152,23.0,1.0,12,0.276169694,2013,0,1,62789.91137,0
153,26.0,4.0,7,-0.163693063,2018,1,3,40197.89491,0
154,16.0,3.0,11,0.942094973,2014,0,0,48131.763028208115,0
155,14.0,4.0,13,0.361020547,2012,1,2,49266.42236,1
156,25.400753212228622,4.0,13,0.61878111,2012,0,0,46139.975,0
157,18.0,2.0,14,0.099912732,2011,1,1,39713.4841,0
158,18.0,1.0,8,0.665937342,2017,0,1,53190.79092,0
159,14.0,2.0,10,0.751255977,2015,0,2,39859.16909,0
160,18.0,4.0,12,1.2078964,2013,2,2,69285.95798,0
161,16.0,0.0,7,1.044649544,2018,0,3,52981.38179,0
162,22.0,1.0,7,0.320099784,2018,2,1,59824.11872,0
163,21.0,2.0,14,-0.134518427,2011,3,1,31567.33295,0
164,20.0,3.0,12,-0.02945737,2013,0,0,51908.23957,0
165,16.0,3.0,10,0.416112434,2015,2,2,18997.07065,0
166,24.0,2.0,5,1.116501432,2020,2,1,48131.763028208115,0
167,15.0,2.0,11,0.598153822,2014,2,1,42065.68403,0
168,12.0,4.0,8,-0.079762085,2017,0,1,11147.51413,1
169,19.0,2.0,6,0.510935147,2019,3,0,44465.05437,0
170,17.0,1.0,8,-0.157349828,2017,1,0,53823.68791,0
171,21.0,2.0,7,0.191625074,2018,0,3,59103.52567,0
172,15.0,5.0,9,0.068146055,2016,0,2,22470.80788,1
173,15.0,1.0,8,0.420174269,2017,3,0,36445.12121,1
174,30.0,3.0,8,0.988647154,2017,0,1,66905.43867,0
175,31.0,3.0,5,-0.00936959,2020,3,3,39388.42899,0
176,15.0,2.0,8,0.665662956,2017,3,1,57654.11721,1
177,18.0,2.0,13,0.286339466,2012,1,1,36564.1067,0
178,15.0,1.0,5,0.610602353,2020,2,1,46582.46897,0
179,18.0,2.0,7,0.881927089,2018,1,1,40927.72244,0
180,14.0,2.0,9,0.664267198,2016,0,0,73894.66041,0
181,12.0,3.0,14,-0.093468474,2011,3,3,40888.92357,1
182,15.0,3.0,11,0.553416747,2014,2,1,21872.14755,1
183,18.0,1.0,14,0.166442139,2011,1,0,38374.72994,0
184,23.0,1.0,13,1.006648609,2012,1,0,64759.78199,0
185,26.0,6.0,7,0.705039441,2018,1,3,29973.83894,0
186,18.0,3.0,13,0.33156898,2012,1,3,56884.71137,0
187,18.0,2.0,6,0.358596977,2019,1,3,33598.00753,1
188,15.0,3.0,10,-0.091774565,2015,4,3,40189.18165,1
189,21.0,2.0,9,1.06929408,2016,1,0,78641.91052,0
190,28.0,4.0,10,0.667090527,2015,1,0,50909.06346,0
191,19.0,3.0,5,0.546338468,2020,2,1,48131.763028208115,0
192,18.0,1.0,10,0.439921599,2015,2,0,33525.34193,0
193,10.0,2.0,7,0.447498633,2018,2,1,39961.41339,1
194,12.0,2.0,4,0.273206388,2021,3,1,44011.71279,0
195,19.0,2.0,8,0.530270428,2017,1,1,39514.7886,0
196,15.0,4.0,13,0.96195595,2012,0,0,42974.19546,0
197,17.0,1.0,10,0.310646232,2015,0,0,20114.44023,0
198,25.0,0.0,14,0.533288825,2011,0,2,51960.77044,0
199,22.0,2.0,14,1.059260942,2011,1,1,43918.9387,0
200,18.0,1.0,9,0.836984032,2016,1,1,54084.80915,0
201,12.0,1.0,4,0.484926079,2021,1,5,40945.93328,0
202,17.400753212228622,2.0,4,0.624926391,2021,1,0,67989.8587,0
203,13.0,0.0,10,0.122077333,2015,0,1,49984.61754,0
204,16.0,1.0,13,0.498250766,2012,2,0,53606.8744,0
205,14.0,2.0,6,0.29570759,2019,1,2,92255.00358,0
206,11.0,3.0,14,0.823146405,2011,2,2,33466.17107,1
207,16.0,0.0,12,0.679225194,2013,2,0,49501.93553,0
208,19.0,0.0,8,0.669565485,2017,1,2,48131.763028208115,0
209,14.0,4.0,9,0.385905805,2016,0,0,61729.6443,0
210,15.0,3.0,4,0.407015547,2021,1,3,46277.33347,0
211,21.0,4.0,13,0.687172201,2012,0,1,47685.67191,0
212,9.0,0.0,4,0.7864042,2021,2,0,65767.80533,0
213,17.0,4.0,7,0.447100197,2018,4,0,36116.24593,1
214,12.0,3.0,8,0.530275283,2017,2,0,71757.62804,0
215,13.0,6.0,12,-0.007872221,2013,1,1,43274.98041,1
216,20.0,2.0,6,0.386515389,2019,0,0,58167.61626,0
217,15.0,3.0,10,1.443358218,2015,0,5,67072.05925,0
218,27.0,2.0,4,0.612725181,2021,1,2,64633.05731,0
219,17.0,2.0,11,0.447041676,2014,1,1,31444.85477,0
220,11.0,0.0,5,0.792806526,2020,1,0,87561.65054,0
221,18.0,2.0,10,0.725774045,2015,2,0,57911.38459,0
222,19.400753212228622,2.0,7,0.476092555,2018,1,0,40769.23464,0
223,19.0,2.0,11,0.832909259,2014,0,0,50222.13289,0
224,16.0,2.0,10,0.484089796,2015,2,1,40270.76859,0
225,13.0,2.0,11,0.708513852,2014,0,1,13222.62346,0
226,16.0,1.0,5,0.712708861,2020,6,6,39958.8003,1
227,17.0,6.0,7,-0.365919225,2018,2,1,57665.66924,1
228,18.0,0.0,8,0.482804286,2017,0,1,62722.78753,0
229,18.0,0.0,12,0.086375187,2013,0,1,70432.19149,0
230,8.0,6.0,11,-0.033578812,2014,0,2,51572.77488,1
231,21.0,4.0,5,0.552563022,2020,1,0,73715.28715,0
232,11.0,2.0,7,0.544442982,2018,4,2,48131.763028208115,1
233,12.0,2.0,11,0.588461289,2014,1,2,38899.16263,1
234,16.0,6.0,9,0.588583968,2016,3,2,34888.62194,1
235,14.0,1.0,7,0.543884109,2018,3,0,88815.35787,0
236,18.0,1.0,7,0.522214899,2018,2,1,37776.88261,0
237,10.0,2.0,6,0.513973472,2019,2,3,25162.36136,1
238,12.0,2.0,12,0.544807072,2013,0,1,41997.51636,0
239,16.0,2.0,14,0.825197949,2011,0,1,56052.26952,0
240,25.0,1.0,11,0.125821969,2014,2,0,42559.82804,0
241,16.0,3.0,10,1.038746349,2015,3,1,48131.763028208115,1
242,22.0,2.0,13,0.482456471,2012,1,2,64477.97094,0
243,22.0,0.0,5,0.271640736,2020,1,1,45132.74545,0
244,25.0,3.0,9,0.730952086,2016,1,1,80109.41347,0
245,21.0,3.0,9,-0.077405296,2016,0,3,35224.30891,0
246,15.0,1.0,11,-0.361481228,2014,2,1,24819.47665,1
247,19.0,2.0,5,0.750810728,2020,1,2,60003.13638,0
248,17.0,1.0,4,0.58287645,2021,1,1,29012.64157,0
249,13.0,9.0,10,0.164407317,2015,2,1,48131.763028208115,1
250,16.0,1.0,8,0.800257315,2017,1,0,37939.24677,0
251,15.0,1.0,8,0.22829699,2017,0,3,64095.87565,0
252,17.0,3.0,14,0.705988769,2011,0,2,40119.84377,0
253,14.0,1.0,7,-0.039051076,2018,0,1,34316.38616,0
254,18.0,3.0,5,0.192074999,2020,1,2,45520.20684,0
255,20.0,1.0,11,0.545894158,2014,1,1,50326.1651,1
256,15.0,4.0,4,0.21143745,2021,3,2,15470.8444,1
257,11.0,0.0,11,0.349917671,2014,2,0,39231.8389,1
258,25.0,2.0,5,0.533251492,2020,0,1,48131.763028208115,0
259,17.0,4.0,4,0.735920996,2021,1,0,32522.29776,0
260,22.0,1.0,5,0.51623933,2020,0,2,60145.61755,0
261,25.0,3.0,5,0.465882386,2020,2,1,32401.52194,0
262,20.0,0.0,13,0.24156341,2012,2,4,68812.78341,0
263,22.0,3.0,6,0.639036359,2019,1,0,48131.763028208115,0
264,14.0,1.0,11,0.208208914,2014,2,3,28598.22374,1
265,26.0,3.0,9,0.931195314,2016,1,1,79328.73936,0
266,22.0,3.0,12,0.741560075,2013,2,0,62687.77683,0
267,22.0,2.0,12,0.593170416,2013,0,1,60064.50153,0
268,23.0,2.0,11,0.424040188,2014,2,0,62517.51164,0
269,27.0,1.0,13,0.421945238,2012,1,1,50836.53259,0
270,24.0,2.0,7,0.264666334,2018,1,0,72423.73524,0
271,19.0,1.0,12,0.42609042,2013,2,1,48216.2103,0
272,16.0,5.0,13,0.276071976,2012,0,1,63083.8338,0
273,28.0,0.0,10,-0.053718345,2015,0,1,51885.39115,0
274,20.0,1.0,8,0.289143566,2017,2,0,64018.43999,0
275,12.0,2.0,4,0.28213174,2021,2,3,42278.72997,1
276,28.0,1.0,4,0.826271235,2021,0,1,58829.34379,0
277,17.0,4.0,7,0.330947103,2018,0,1,27703.37697,0
278,19.0,1.0,14,-0.035812047,2011,0,1,57833.78798,0
279,26.0,0.0,9,0.890521529,2016,2,1,73542.4878,0
280,21.0,2.0,5,0.299402484,2020,0,0,52313.25213,0
281,18.0,4.0,5,0.557653191,2020,0,1,63871.16658,0
282,19.400753212228622,4.0,5,0.592812138,2020,2,0,71782.59797,0
283,21.0,0.0,10,0.586047984,2015,2,1,76606.41057,0
284,20.0,0.0,4,1.046664352,2021,0,0,8294.118825,0
285,28.0,1.0,14,0.246789652,2011,1,1,48132.87152,0
286,19.0,2.0,12,0.401085102,2013,2,2,46060.83576,0
287,22.0,3.0,10,0.261924998,2015,0,1,57370.82163,0
288,15.0,5.0,6,0.228210965,2019,3,2,24709.90008,1
289,30.0,4.0,6,0.622235466,2019,2,2,58965.51678,0
290,23.0,2.0,9,0.466057587,2016,1,1,65990.74508,0
291,19.0,2.0,13,0.305018279,2012,3,0,53525.47626,0
292,17.0,1.0,11,0.895447658,2014,0,1,56462.75772,0
293,27.0,0.0,14,0.15705376,2011,2,2,34048.54886,0
294,21.0,1.0,5,0.70314468,2020,1,0,62124.09343,0
295,26.0,1.0,10,0.935060003,2015,0,2,45046.69503,0
296,18.0,5.0,14,0.201835055,2011,2,4,49581.19767,1
297,22.0,3.0,5,-0.261770226,2020,2,2,31340.32959,1
298,28.0,1.0,8,0.982426975,2017,0,0,67358.16149,0
299,17.0,3.0,6,1.256748149,2019,1,0,36257.92924,0
300,15.0,0.0,12,0.792028817,2013,1,2,55101.31328,0
301,23.0,1.0,4,0.445703129,2021,1,1,49643.35794,0
302,21.0,2.0,6,0.826613283,2019,1,3,74447.00309,0
303,14.0,3.0,11,0.930145163,2014,0,0,57999.09823,0
304,23.0,4.0,10,0.24935944,2015,1,1,55527.37893,0
305,19.400753212228622,2.0,5,1.145840317,2020,2,2,60138.10532,0
306,24.0,3.0,11,0.005137551,2014,3,1,58297.64094,0
307,16.0,1.0,13,0.432454731,2012,1,5,30159.70021,0
308,16.0,1.0,12,0.30173075,2013,1,0,49273.83483,0
309,24.0,2.0,11,0.592815464,2014,3,0,42347.33435,0
310,16.0,1.0,14,0.601009994,2011,5,4,75520.25334,0
311,24.0,1.0,10,0.713455621,2015,2,1,71380.20287,0
312,33.0,2.0,8,-0.214845648,2017,1,1,71686.17691,0
313,18.0,1.0,4,0.839439788,2021,0,1,85396.58896,0
314,17.0,3.0,10,-0.100534653,2015,1,1,70557.15989,0
315,23.0,1.0,11,0.672411496,2014,0,2,26115.11496,0
316,23.0,3.0,4,0.163792789,2021,2,1,48903.22586,0
317,18.0,2.0,10,0.570987668,2015,0,0,70991.4416,0
318,18.0,1.0,11,0.599940758,2014,0,5,43957.82521,1
319,22.0,3.0,11,0.58150616,2014,1,1,52441.86679,0
320,20.0,0.0,5,0.257617249,2020,1,2,40516.52588,0
321,28.0,2.0,7,0.477298,2018,1,0,50411.90848,0
322,19.0,2.0,8,0.286325636,2017,1,1,50817.29423,0
323,19.0,3.0,11,0.744660856,2014,0,1,47004.70314,0
324,5.0,1.0,6,0.438483006,2019,1,1,39942.49902,0
325,20.0,4.0,12,0.049636213,2013,1,0,47028.23876,0
326,15.0,2.0,4,0.67382411,2021,0,0,35588.15524,0
327,23.0,2.0,3,0.189586398,2022,0,0,57333.25708,0
328,13.0,1.0,10,0.565972035,2015,2,3,55597.74785,0
329,17.0,3.0,12,0.621093438,2013,1,3,45350.074,0
330,14.0,4.0,7,0.653482744,2018,1,6,13926.88684,1
331,17.0,0.0,4,0.611672327,2021,0,0,46037.91069,0
332,12.0,2.0,7,0.416726012,2018,2,2,58597.2108,0
333,31.0,2.0,11,0.442102016,2014,0,0,61551.96122,0
334,20.0,2.0,6,0.091337958,2019,3,4,46413.72591,0
335,18.0,1.0,12,0.416335126,2013,1,2,36468.77118,0
336,16.0,3.0,12,0.194675432,2013,2,1,52609.6984,1
337,22.0,4.0,5,0.808408246,2020,0,2,47757.73295,0
338,13.0,4.0,10,0.926990842,2015,0,1,52228.79018,0
339,14.0,3.0,5,0.035519514,2020,2,3,59939.34201,1
340,19.0,4.0,4,0.047229662,2021,0,1,62728.56336,0
341,17.0,2.0,9,0.517992516,2016,1,3,36545.53095,1
342,16.0,2.0,4,0.325303755,2021,1,0,39107.87753,0
343,16.0,4.0,5,1.128665781,2020,2,3,52952.12768,0
344,15.0,1.0,13,0.519515112,2012,1,1,62712.46385,0
345,20.0,4.0,4,0.235600182,2021,1,1,52626.45655,0
346,27.0,2.0,14,0.580591128,2011,1,0,60745.59514,0
347,22.0,4.0,7,0.414898228,2018,2,2,29346.75867,0
348,26.0,2.0,10,0.484112034,2015,2,2,78410.56703,0
349,25.0,4.0,4,0.264877974,2021,5,1,44492.51244,0
350,16.0,2.0,5,0.456776504,2020,2,4,10832.99184,1
351,14.0,1.0,13,0.047678521,2012,0,0,52968.73593,1
352,22.0,1.0,7,0.866194587,2018,0,2,20350.16348,0
353,25.0,0.0,4,0.898861321,2021,1,0,52285.91215,0
354,20.0,2.0,9,0.539025296,2016,1,0,77256.73034,0
355,19.0,2.0,5,0.181962949,2020,1,0,64458.58308,0
356,13.0,4.0,10,0.9817409,2015,1,2,45828.63853,1
357,20.0,2.0,11,0.556592868,2014,4,0,59988.9404,0
358,20.0,2.0,4,0.562827248,2021,1,1,53830.49943,1
359,21.0,0.0,10,0.440311297,2015,1,1,35588.58992,0
360,20.0,3.0,7,0.736145143,2018,1,2,46831.73928,0
361,23.0,2.0,13,0.386058532,2012,0,2,29215.69767,0
362,12.0,3.0,8,0.319300817,2017,0,1,45626.53996,1
363,20.0,2.0,14,0.287550908,2011,1,0,34321.48207,1
364,19.0,1.0,11,0.689806237,2014,0,1,62233.33226,0
365,26.0,2.0,12,1.132779397,2013,1,2,68019.52376,0
366,18.0,3.0,10,0.821385052,2015,2,1,54094.89931,0
367,25.0,4.0,14,0.569929638,2011,1,3,58449.97988,0
368,13.0,0.0,9,0.681901154,2016,2,4,43413.78941,1
369,21.0,0.0,11,0.51828791,2014,2,2,41519.08913,1
370,15.0,2.0,6,0.889212655,2019,0,0,22407.37558,0
371,18.0,1.0,6,0.618085517,2019,1,2,51501.96892,0
372,19.0,1.0,12,0.462370445,2013,2,2,41543.71794,0
373,22.0,4.0,12,0.356193835,2013,2,1,36029.93898,0
374,15.0,1.0,4,-0.069402633,2021,3,0,27130.02185,1
375,23.0,2.0,10,0.12930528,2015,3,0,46434.21587,0
376,14.0,3.0,8,0.230205377,2017,0,3,40385.38341,1
377,17.0,0.0,14,0.464655543,2011,0,0,62234.27373,0
378,20.0,3.0,13,0.435351814,2012,3,0,37406.40806,1
379,20.0,2.0,14,0.871064525,2011,0,0,46617.14959,0
380,28.0,3.0,14,0.459065238,2011,0,0,82056.15228,0
381,17.0,1.0,7,0.195758252,2018,0,0,48131.763028208115,0
382,30.0,2.0,14,0.432432506,2011,1,2,66198.60133,0
383,10.0,2.0,5,0.286380153,2020,2,1,59926.2699,1
384,19.0,1.0,6,0.405930093,2019,0,3,38552.25503,0
385,19.0,0.0,7,0.26926328,2018,3,1,44848.77791,0
386,18.0,5.0,13,0.399586972,2012,2,1,65593.44058,0
387,23.400753212228622,2.0,5,0.276384002,2020,3,1,38336.47928,0
388,26.0,0.0,9,0.732576959,2016,0,1,52536.11531,0
389,13.0,1.0,14,0.536404719,2011,1,0,12935.34552,0
390,21.0,0.0,13,0.741560868,2012,2,0,49327.32082,0
391,21.0,3.0,4,0.429537682,2021,0,1,46264.82033,0
392,26.0,1.0,6,0.723379959,2019,0,1,18265.64683,0
393,21.0,3.0,13,0.349724811,2012,0,1,46097.74601,0
394,15.0,1.0,9,0.4046714,2016,1,0,50609.78394,0
395,19.400753212228622,0.0,7,0.821522914,2018,1,0,97905.5409,0
396,24.0,0.0,7,0.94142173,2018,1,1,34698.39726,0
397,18.0,3.0,10,0.563809849,2015,1,0,46661.32049,0
398,18.0,3.0,14,0.092471257,2011,1,4,48501.12502,1
399,12.0,2.0,11,0.403729056,2014,0,2,26761.35387,0
400,21.400753212228622,2.0,13,0.547374746,2012,2,1,62800.41109,0
401,11.0,4.0,6,0.527915922,2019,0,1,28073.37931,0
402,13.0,1.0,5,0.449377483,2020,1,1,57613.03487,0
403,15.0,1.0,4,0.444612736,2021,3,1,32296.56423,0
404,20.400753212228622,2.0,12,0.467354385,2013,0,1,28600.07371,0
405,19.0,1.0,7,0.955199592,2018,1,1,39236.79178,0
406,14.0,2.0,7,0.588613369,2018,0,0,36177.81545,0
407,22.0,2.0,11,-0.086571409,2014,1,3,43740.16566,1
408,12.0,1.0,8,0.749323474,2017,2,1,51112.01501,0
409,20.0,2.0,13,0.527540468,2012,0,0,48131.763028208115,0
410,21.0,1.0,11,0.41541041,2014,1,0,28107.83295,0
411,18.0,3.0,10,-0.281381389,2015,4,3,25217.86469,1
412,23.0,2.0,13,1.073055332,2012,0,0,67220.65043,0
413,19.0,1.0,13,0.693785401,2012,0,2,31649.76946,0
414,8.0,3.0,7,0.501382674,2018,0,3,48131.763028208115,1
